Song Title,Song Artist,Beat,BPM,Source,Genre
Ripple,Grateful Dead,Beat Buddy: PolkaBeat Buddy Mini: PolkaBeat Buddy Mini 2: Polka,62,Default Library,Rock
Riptide,Vance Joy,Beat Buddy: Country 2- Train ShuffleBeat Buddy Mini: Country 2Beat Buddy Mini 2: Country 2- Train Shuffle,200,Default Library,Rock
Rocket Man,Elton John,Beat Buddy: Rock 1Beat Buddy Mini: Rock 1Beat Buddy Mini 2: Rock 1,72,Default Library,Rock
Rocking in the Free World,Neil Young,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,128,Default Library,Rock
Run,Collective Soul,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,98,Default Library,Rock
Scotty Doesn't Know,Lustra,Beat Buddy: Punk 1Beat Buddy Mini: Punk 1Beat Buddy Mini 2: Punk 1,172,Default Library,Rock
Shake Your Booty,KC and the Sunshine Band,Beat Buddy: Pop 2- 16thsBeat Buddy Mini 2: Pop 2- 16ths,109,Default Library,Rock
She Said,Collective Soul,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,82,Default Library,Rock
Signs,Five Man Electrical Band,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,77,Default Library,Rock
Silver Threads and Golden Needles,Linda Ronstadt,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,144,Default Library,Rock
Simple Man,Lynyrd Skynyrd,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,59,Default Library,Rock
Simple Man,Neil Young,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,59,Default Library,Rock
Sit Down,James,Beat Buddy: Pop 11- 16thsBeat Buddy Mini: Pop 5Beat Buddy Mini 2: Pop 11- 16ths,130,Default Library,Rock
Slide,Goo Goo Dolls,Beat Buddy: Rock 1Beat Buddy Mini: Rock 1Beat Buddy Mini 2: Rock 1,111,Default Library,Rock
Soul Man,Blues Brothers,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,113,Default Library,Rock
Space Oddity,David Bowie,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,82,Default Library,Rock
Stairway to heaven,Led Zeppelin,Beat Buddy: Rock 3Beat Buddy Mini 2: Rock 3,86,Default Library,Rock
Stand By Me,John Lennon,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,110,Default Library,Rock
Stand By Me,Ben E. King,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,92,Default Library,Rock
Still The Same,Bob Seger,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,116,Default Library,Rock
Sugaree,Grateful Dead,Beat Buddy: Blues 4- 6/8Beat Buddy Mini 2: Blues 4- 6/8,131,Default Library,Rock
Sweet Melissa,Allman Brothers,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,82,Default Library,Rock
Tainted Love,Manson,Beat Buddy: Brushes 8- Str 8Beat Buddy Mini 2: Brushes 8- Str 8,126,Default Library,Rock
Take It Easy,The Eagles,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,138,Default Library,Rock
"Take me Home, Country Roads",John Denver,Beat Buddy: Brushes 1- Str 8Beat Buddy Mini: Brushes 1Beat Buddy Mini 2: Brushes 1- Str 8,82,Default Library,Rock
Tequila Sunrise,The Eagles,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,110,Default Library,Rock
The Weight,The Band,Beat Buddy: Brushes 1- Str 8Beat Buddy Mini: Brushes 1Beat Buddy Mini 2: Brushes 1- Str 8,78,Default Library,Rock
Time of Your Life (Good Riddance),Green Day,Beat Buddy: Brushes 8- Str 8Beat Buddy Mini 2: Brushes 8- Str 8,110,Default Library,Rock
Top Of The World,Carpenters,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,85,Default Library,Rock
Tuesday's Gone,Lynyrd Skynyrd,Beat Buddy: Blues 4- 6/8Beat Buddy Mini 2: Blues 4- 6/8,73,Default Library,Rock
Tupelo Honey,Van Morrison,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,71,Default Library,Rock
Under the Milky Way,The Church,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,110,Default Library,Rock
Valerie,The Zutons,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,94,Default Library,Rock
Wagon Wheel,Old Crow Medicine Show,Beat Buddy: Pop 11- 16thsBeat Buddy Mini: Pop 5Beat Buddy Mini 2: Pop 11- 16ths,130,Default Library,Rock
Wagon Wheel,OMC,Beat Buddy: Country 2- Train ShuffleBeat Buddy Mini: Country 2Beat Buddy Mini 2: Country 2- Train Shuffle,120,Default Library,Rock
Waiting On a Friend,Rolling Stones,Beat Buddy: Rock 8Beat Buddy Mini: Rock 3Beat Buddy Mini 2: Rock 8,114,Default Library,Rock
Wanted Dead Or Alive,Bon Jovi,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,74,Default Library,Rock
We're an American Band,Grand Funk Railroad,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,128,Default Library,Rock
When Doves Cry,Prince,Beat Buddy: Rock 4Beat Buddy Mini 2: Rock 4,114,Default Library,Rock
When Julie Comes Around,The Cuflinks,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,142,Default Library,Rock
Who is Cheatin' Who,Charie McLain/Alan Jackson,Beat Buddy: Pop 11- 16thsBeat Buddy Mini: Pop 5Beat Buddy Mini 2: Pop 11- 16ths,134,Default Library,Rock
